,comfort_food_reasons_coded,fav_cuisine_coded,fruit_day,pay_meal_out,veggies_day,food_recommend
1,9,2,5,2,5,볶음밥
2,9,5,5,2,5,국밥
3,9,4,5,4,5,치킨
4,1,1,4,3,4,파스타
5,1,5,4,5,4,삼겹살
6,1,4,4,4,4,치킨
7,1,6,4,1,4,빵
8,1,5,4,3,4,샤브샤브
9,1,1,4,4,4,피자
10,1,6,4,1,4,과자
11,1,6,4,1,4,아이스크림
12,1,4,5,4,5,치킨
13,1,5,5,2,5,야채볶음밥
14,1,1,5,3,5,파스타
15,1,7,5,2,5,샐러드
16,1,1,5,4,5,피자
17,1,4,5,2,5,타코
18,1,4,5,2,5,햄버거
19,1,4,4,4,4,치킨
20,1,5,4,5,4,삼겹살
21,1,1,4,3,4,스파게티
22,1,1,4,3,4,미트볼파스타
23,1,4,4,2,4,치킨텐더
24,1,6,4,1,4,아이스크림
25,1,6,4,1,4,초콜렛
26,4,3,2,3,1,랜덤
27,4,5,2,4,1,샤브샤브
28,4,5,2,2,1,칼국수
29,1,4,4,4,4,치킨
30,1,5,4,5,4,삼겹살
31,1,5,4,2,4,칼국수
32,1,4,4,2,4,햄버거
33,1,6,4,1,4,아이스크림
34,1,6,4,1,4,빵
35,1,4,5,4,4,치킨
36,1,5,5,5,4,삼겹살
37,1,1,5,3,4,치킨파스타
38,1,7,5,2,4,샐러드
39,1,6,5,2,4,핫도그
40,1,4,5,2,4,치즈버거
41,2,1,4,3,3,파스타
42,2,5,4,2,3,생선구이
43,2,5,4,5,3,삼겹살구이
44,2,6,4,2,3,도넛츠
45,2,6,4,1,3,아이스크림
46,1,7,5,2,5,샐러드파스타
47,1,1,5,3,5,빵과 파스타
48,1,7,5,2,5,계란 및 샐러드
49,1,5,5,2,5,브런치메뉴
50,1,1,5,3,5,파스타
51,2,4,5,4,5,치킨
52,2,1,5,3,5,스파게티
53,2,1,5,3,5,치킨파스타
54,3,4,5,4,5,치킨
55,3,5,5,2,5,생선구이
56,3,1,5,3,5,파스타
57,3,5,5,2,5,국밥
58,3,5,4,3,3,만두전골
59,3,4,4,4,3,피자
60,3,4,4,4,3,치킨
61,1,1,5,3,5,파스타
62,1,4,5,4,5,치킨
63,1,5,5,5,5,삼겹살
64,1,6,5,2,5,케이크
65,2,1,5,4,5,피자
66,2,4,5,4,5,치킨
67,2,5,5,2,5,볶음밥
68,2,5,5,3,5,족발
69,2,7,5,1,5,과일
70,2,1,5,3,5,스파게티
71,2,4,5,4,5,치킨
72,2,1,3,3,1,치킨파스타
73,2,1,3,4,1,피자
74,2,6,3,1,1,도넛츠
75,1,2,5,3,5,카레
76,1,5,5,2,5,생선구이
77,1,1,5,4,5,치킨
78,1,2,5,2,5,쌀국수
79,2,4,3,4,4,치킨
80,2,5,3,2,4,볶음밥
81,2,1,3,3,4,파스타
82,2,5,3,5,4,삼겹살구이
83,3,1,5,3,5,스파게티
84,3,4,5,4,5,치킨
85,3,5,5,2,5,칼국수
86,2,4,2,4,2,치킨
87,2,3,2,2,2,중국식볶음밥
88,2,3,2,2,2,짜장면
89,7,4,2,4,3,치킨
90,7,1,2,4,3,파스타
91,7,1,2,4,3,피자
92,2,8,3,3,2,돈까스
93,2,1,3,4,2,파스타
94,3,1,4,4,3,파스타
95,3,4,4,2,3,햄버거
96,1,1,3,4,4,피자
97,1,1,3,4,4,파스타
98,1,4,3,4,4,치킨
99,1,5,3,2,4,국밥
100,6,1,4,4,4,파스타
101,6,4,4,2,4,치킨
102,6,5,4,2,4,볶음밥
103,6,5,4,2,4,떡볶이
104,2,4,3,4,3,치킨
105,2,5,3,2,3,국밥
106,2,5,3,2,3,떡볶이
107,2,5,5,5,5,삼겹살
108,2,5,5,1,5,김밥
109,2,5,3,5,2,삼겹살
110,2,4,3,2,2,타코
111,2,6,5,2,4,샐러드
112,2,8,5,2,4,덮밥
113,1,1,3,3,5,파스타
114,1,6,3,2,5,와플
115,1,4,5,4,5,치킨
116,1,5,5,5,5,삼겹살
117,1,7,5,3,5,닭가슴살파스타
118,1,6,5,1,5,빵
119,4,1,4,4,5,파스타
120,4,8,4,3,5,초밥
121,4,4,4,4,5,치킨
122,2,5,3,3,3,찜닭
123,2,3,3,2,3,짜장면
124,2,1,5,3,4,파스타
125,2,4,5,2,4,햄버거
126,2,7,5,1,5,과일
127,2,7,5,2,5,샐러드
128,2,7,5,3,5,포케
129,2,1,5,3,5,스파게티
130,2,5,5,2,5,볶음밥
131,2,6,5,2,5,도넛츠
132,1,1,3,3,4,치킨파스타
133,1,5,3,2,4,분식
134,2,4,4,2,3,타코
135,2,5,4,5,3,삼겹살
136,3,1,3,4,4,피자
137,3,5,3,3,4,찜닭
138,5,5,5,3,5,찜닭
139,5,5,5,2,5,칼국수
140,5,5,5,5,5,삼겹살
141,2,5,5,3,4,한정식
142,2,5,5,2,4,김치볶음밥
143,2,5,5,2,4,국밥
144,3,3,4,2,4,짜장면
145,3,3,4,2,4,중국식볶음밥
146,3,2,4,2,4,쌀국수
147,1,5,5,5,5,삼겹살
148,1,4,5,4,5,치킨
149,4,4,5,2,5,타코
150,4,1,5,3,5,스파게티
151,4,5,5,2,5,생선구이
152,3,4,4,3,4,스파게티
153,3,5,4,5,4,삼겹살
154,3,5,4,3,4,닭도리탕
155,2,4,5,2,5,햄버거
156,2,8,5,3,5,돈까스
157,1,5,5,5,5,삼겹살
158,1,4,5,4,5,치킨
159,1,4,5,2,5,타코
160,5,1,3,4,3,피자
161,5,1,3,3,3,파스타
162,5,4,3,2,3,햄버거
163,1,7,4,3,5,샐러드파스타
164,1,7,4,2,5,샐러드
165,1,7,4,3,5,포케
166,5,5,5,2,4,김치찌개
167,5,5,5,5,4,삼겹살
168,2,5,5,3,5,족발
169,2,5,5,2,5,칼국수
170,2,5,5,5,5,삼겹살
171,2,1,4,4,4,피자
172,2,5,4,5,4,삼겹살
173,2,1,4,3,4,치킨스파게티
174,1,5,5,3,5,즉석떡볶이
175,1,5,5,5,5,삼겹살
176,1,2,5,2,5,볶음밥
177,2,5,4,2,4,김치볶음밥
178,2,5,4,3,4,족발
179,2,2,5,2,5,카레
180,2,4,5,4,5,치킨
181,9,8,4,3,4,대창덮밥
182,9,8,4,3,4,연어덮밥
183,9,8,4,3,4,스테이크덮밥
184,1,5,5,5,5,삼겹살
185,1,1,5,3,5,파스타
186,2,5,5,2,4,떡볶이
187,2,8,5,3,4,돈까스
188,3,8,5,3,5,초밥
189,3,5,5,3,5,족발
190,3,5,5,3,5,돼지김치구이
191,3,5,3,2,3,김치찌개
192,3,5,3,3,3,돈까스
193,2,5,4,4,4,육회
194,2,8,4,3,4,덮밥
195,3,6,5,1,5,샌드위치
196,3,4,5,2,5,햄버거
197,2,5,5,2,5,볶음밥
198,2,4,5,4,5,치킨
199,2,3,5,3,5,마라탕
200,2,1,3,3,3,치킨파스타
201,2,8,3,3,3,돈까스정식
202,3,5,5,2,5,제육덮밥
203,3,5,5,2,5,닭갈비볶음밥
204,3,5,5,2,5,김치찌개
205,2,5,5,2,5,닭갈비볶음밥
206,2,5,5,3,5,닭갈비
207,2,3,5,3,5,마라탕
208,1,5,5,2,5,김치찌개
209,1,5,5,2,5,순대국
210,2,5,3,5,5,삼겹살
211,2,1,3,3,5,파스타
212,2,4,3,2,5,햄버거
213,2,1,5,4,5,피자
214,2,5,5,3,5,족발
215,2,5,5,2,5,순대국
216,2,5,5,2,5,국밥
217,2,5,5,2,5,칼국수
218,2,5,5,3,5,만두전골
219,2,1,5,3,5,파스타
220,2,5,5,6,5,소고기
221,2,5,5,4,5,육회
222,2,4,3,4,4,치킨
223,2,8,3,2,4,알밥
224,3,4,5,2,4,햄버거
225,3,5,5,2,4,된장찌개
226,3,5,5,2,4,김치찌개
227,3,2,5,2,4,볶음밥
228,2,5,4,5,2,삼겹살
229,2,8,4,3,2,초밥
230,2,5,4,3,2,샤브샤브
231,2,5,3,3,2,찜닭
232,2,5,3,3,2,닭볶음탕
233,1,5,5,3,4,닭갈비
234,1,8,5,3,4,돈까스
235,2,8,5,3,4,스테이크덮밥
236,2,8,5,3,4,대창덮밥
237,7,5,3,5,2,삼겹살
238,7,5,3,3,2,김치찜
239,7,5,3,2,2,냉면
240,2,5,4,5,2,삼겹살
241,2,5,4,3,2,쭈꾸미볶음
242,2,5,4,2,2,제육볶음
243,2,1,3,4,3,피자
244,2,4,3,2,3,타코
245,2,5,3,4,3,곱창
246,2,1,4,3,4,스파게티
247,2,1,4,3,4,치킨파스타
248,2,3,4,3,4,마라탕
249,3,4,5,4,5,치킨
250,3,6,5,2,5,크로플
251,3,6,5,2,5,크로와상샌드위치
252,1,1,5,3,4,파스타
253,1,1,5,4,4,피자
254,2,3,5,3,4,마라탕
255,2,3,5,2,4,중국식볶음밥
256,2,5,5,2,4,칼국수
257,3,1,4,4,4,피자
258,3,5,4,2,4,순대국
259,9,4,4,2,4,부리또
260,1,1,5,4,5,파스타
261,1,5,5,2,5,볶음밥
262,1,5,5,3,5,곱도리탕
263,1,5,5,2,5,김치찜
264,1,5,5,2,5,김치찌개
265,2,3,5,2,4,짜장면
266,2,3,5,3,4,마라탕
267,2,3,5,4,4,마라샹궈
268,2,1,2,5,1,피자
269,2,1,2,5,1,바베큐
270,2,5,2,2,1,떡볶이
271,1,5,1,5,4,삼겹살
272,1,4,1,2,4,치킨텐더
273,1,4,1,2,4,패스트푸드
274,2,8,4,3,5,돈까스
275,2,5,4,2,5,국밥
276,2,5,4,4,5,부대찌게
277,5,8,5,3,5,연어덮밥
278,5,5,5,5,5,삼겹살
279,5,8,5,3,5,연어덮밥
280,5,5,5,4,5,육회
281,2,1,4,3,4,파스타
282,2,5,4,3,4,생선구이
283,2,5,4,3,4,백반
284,2,5,4,3,4,한정식
285,7,6,3,2,2,케이크
286,7,6,3,1,2,빵
287,7,6,3,2,2,샌드위치
288,2,4,5,4,5,치킨
289,2,1,5,3,5,스파게티
290,2,2,5,2,5,쌀국수
291,3,2,5,2,4,쌀국수
292,3,2,5,2,4,아시안볶음밥
293,3,2,5,2,4,분짜
294,3,4,5,2,5,치킨윙
295,3,5,5,3,5,김치찜
296,3,5,5,2,5,도시락
297,3,5,5,3,5,삼겹살도시락
298,3,7,5,3,5,샐러드파스타
299,3,7,5,3,5,포케
300,8,1,5,3,5,파스타
301,8,6,5,2,5,샌드위치
302,2,4,4,2,5,햄버거
303,2,1,4,3,5,바베큐치킨도시락
304,2,1,3,2,2,치킨볶음밥
305,2,4,3,2,2,타코
306,2,4,3,2,2,햄버거
307,1,5,3,2,4,떡볶이
308,1,5,3,1,4,불닭볶음면
309,1,6,3,2,4,팥빙수
310,1,1,3,4,4,피자
311,1,5,1,2,4,떡볶이
312,1,3,1,3,4,마라탕
313,1,5,1,1,4,불닭볶음면
314,1,6,1,2,4,팥빙수
315,1,5,1,2,5,떡볶이
316,1,3,1,3,5,마라탕
317,1,5,1,1,5,붉닭볶음면
318,1,6,1,2,5,팥빙수
319,1,1,1,4,5,피자
320,1,5,2,2,5,떡볶이
321,1,3,2,3,5,마라탕
322,1,5,2,1,5,불닭볶음면
323,1,5,2,3,5,닭발
324,1,5,4,2,4,떡볶이
325,1,3,4,3,4,마라탕
326,1,5,4,1,4,불닭볶음면
327,1,6,4,2,4,팥빙수
328,1,1,4,4,4,피자
329,1,5,4,2,3,떡볶이
330,1,3,4,3,3,마라탕
331,1,6,4,2,3,팥빙수
332,1,1,4,4,3,피자
333,1,5,5,2,3,떡볶이
334,1,3,5,3,3,마라탕
335,1,5,5,1,3,불닭볶음면
336,1,1,5,4,3,피자
337,3,5,3,2,5,떡볶이
338,3,3,3,3,5,마라탕
339,3,6,3,2,5,팥빙수
340,3,1,3,4,5,피자
341,3,5,3,2,3,떡볶이
342,3,5,3,1,3,붉달볶음면
343,3,6,3,2,3,팥빙수
344,3,5,1,2,3,떡볶이
345,3,5,1,1,3,불닭볶음면
346,3,1,1,4,3,피자
347,3,5,1,2,4,떡볶이
348,3,3,1,3,4,마라탕
349,3,5,1,1,4,불닭볶음면
350,3,1,1,4,4,피자
351,3,5,2,2,5,떡볶이
352,3,5,2,1,5,불닭볶음면
353,3,5,2,3,5,닭발
354,6,5,1,2,3,국밥
355,6,5,1,2,3,죽
356,6,5,1,2,3,오뎅탕
357,6,5,1,3,3,부대찌게
358,6,6,2,1,3,붕어빵
359,6,5,2,2,3,국밥
360,6,5,2,2,3,죽
361,6,5,2,2,3,오뎅탕
362,6,5,2,3,3,부대찌게
363,6,5,3,2,4,국밥
364,6,5,3,2,4,죽
365,6,8,3,2,4,오뎅탕
366,6,5,3,3,4,부대찌게
367,6,3,3,3,4,마라탕
368,6,5,3,3,4,닭발
369,6,6,3,1,4,붕어빵
370,6,5,3,2,4,국밥
371,6,5,3,2,4,죽
372,6,8,3,2,4,오뎅탕
373,6,5,3,3,4,부대찌게
374,6,3,3,3,4,마라탕
375,6,5,3,2,5,국밥
376,6,5,3,2,5,죽
377,6,8,3,2,5,오뎅탕
378,6,5,3,3,5,부대찌게
379,6,3,3,3,5,마라탕
380,6,6,3,1,5,붕어빵
381,6,5,3,2,5,국밥
382,6,5,3,2,5,죽
383,6,8,3,2,5,오뎅탕
384,6,5,3,3,5,부대찌게
385,6,3,3,3,5,마라탕
386,4,5,3,2,4,국밥
387,4,5,3,3,4,제육볶음
388,4,5,3,2,4,볶음밥
389,4,5,3,3,4,삼계탕
